"Reference","Value","Description","Qty","JLCPCB Part #","Manufacturer","Manufacturer Part #"
"C1,C8,C11,C17,C43","4.7uF","CAP CER 4.7UF 25V X5R 0805","5","C1779","Samsung Electro-Mechanics","CL21A475KAQNNNE"
"C2,C9,C12,C18,C27,C28,C31,C39,C42,C44,C45,C47,C49","100nF","CAP CER 0.1UF 50V X7R 0603","13","C14663","YAGEO","CC0603KRX7R9BB104"
"C3,C13,C19,C29,C30,C33,C36,C38,C40","1uF","CAP CER 1UF 50V X7R 0805","9","C28323","Samsung Electro-Mechanics","CL21B105KBFNNNE"
"C4,C5","47pF","CAP CER 47PF 50V C0G/NP0 0603","2","C1671","Samsung Electro-Mechanics","CL10C470JB8NNNC"
"C6,C14,C20,C23,C26","10uF","CAP CER 10UF 50V X5R 1206","5","C13585","Samsung Electro-Mechanics","CL31A106KBHNNNE"
"C7,C15,C21","1nF","CAP CER 1000PF 50V X7R 0603","3","C1588","Samsung Electro-Mechanics","CL10B102KB8NNNC"
"C10,C16,C22,C37,C41","10nF","CAP CER 10000PF 50V X7R 0603","5","C57112","Samsung Electro-Mechanics","CL10B103KB8NNNC"
"C24,C25","330uF","CAP ALUM 330UF 20% 35V RADIAL TH","2","C75177","Rubycon","35ZLH330MEFC10X12.5"
"C32","100pF","CAP CER 100PF 50V C0G/NP0 0603","1","C14858","Samsung Electro-Mechanics","CL10C101JB8NNNC"
"C34,C35","22uF","CAP CER 22UF 25V X5R 0805","2","C45783","Samsung Electro-Mechanics","CL21A226MAYNNNE"
"C46,C48","11pF","CAP CER 11PF 50V C0G/NP0 0402","2","C710643","Murata Electronics","GCM1555C1H110JA16D"
"D1,D6,D10","MBR0580S1-7","DIODE SCHOTTKY 80V 500MA SOD123","3","C177047","Diodes Incorporated","MBR0580S1-7"
"D2,D16,D20,D21","D1213A-02SOL-7","TVS DIODE 3.3VWM 10VC SOT233","4","C460585","Diodes Incorporated","D1213A-02SOL-7"
"D3,D4,D7,D8,D11,D12","TPH1R306P1,L1Q","MOSFET N-CH 60V 100A 8SOP","6","C6290261","Toshiba Semiconductor and Storage","TPH1R306P1,L1Q"
"D5,D9,D13,D22","BZX84C3V3-7-F","DIODE ZENER 3.3V 300MW SOT23-3","4","C177019","Diodes Incorporated","BZX84C3V3-7-F"
"D14,D15","SMAJ28CA","TVS DIODE 28VWM 45.4VC DO214AC","2","C148228","Littelfuse Inc.","SMAJ28CA"
"D17,D18,D19,D23,D24,D25","LED","LED YELLOW CLEAR 0603 SMD","6","C72038","Everlight Electronics Co Ltd","EAST16086YA4"
"J1,J2","S2B-PH-K-S","CONN HEADER R/A 2POS 2MM","2","C173752","JST Sales America Inc.","S2B-PH-K-S"
"J3","2x2-1.27MM","CONN HEADER VERT 4POS 1.27MM","1","C18197867","Sullins Connector Solutions","GRPB022VWVN-RC"
"J4","XT60PW-M","XT60 HORIZONTAL 2-PIN POWER","1","C98732","Changzhou Amass Elec","XT60PW-M"
"J5","USB TYPE-A","CONN RCPT USB2.0 TYPEA 4P SMD RA","1","C599118","Amphenol ICC (FCI)","87583-2010BLF"
"J6","2x5-1.27MM","CONN HEADER SMD 10POS 1.27MM","1","C150517","Amphenol ICC (FCI)","20021121-00010C4LF"
"J7","MT60-F","MT60 VERT 3-PIN POWER","1","C40020701","Amass Electronics","MT60-F"
"L1","15uH","FIXED IND 15UH 2.05A 88MOHM SMD","1","C83374","Shenzhen Sunlord Electronics Co., Ltd.","SWPA6045S150MT"
"R1,R11,R19","2.2R","RES SMD 2.2 OHM 1% 3/4W 1206","3","C1854860","Vishay Dale","CRCW12062R20FKEAHP"
"R2,R3,R12,R13,R20,R21","10R/250mW","RES 10 OHM 1% 1/4W 0805","6","C727983","YAGEO","AC0805FR-7W10RL"
"R4,R5,R9,R14,R15,R17,R22,R23,R25,R27,R34,R35","10k","RES 10K OHM 1% 1/10W 0603","12","C25804","Stackpole Electronics Inc","RMCF0603FT10K0"
"R6,R7","120R","RES 120 OHM 1% 1/10W 0603","2","C22787","YAGEO","RC0603FR-07120RL"
"R8,R16,R24,R37,R38,R39","68k","RES SMD 68K OHM 1% 1/10W 0603","6","C23231","Panasonic Electronic Components","ERJ-3EKF6802V"
"R10,R18,R26","10R","RES 10 OHM 1% 1/10W 0603","3","C22859","YAGEO","RC0603FR-0710RL"
"R28","100k","RES 100K OHM 1% 1/10W 0603","1","C25803","YAGEO","RC0603FR-07100KL"
"R29,R31","5.76k","RES 5.76K OHM 1% 1/10W 0603","2","C2933239","YAGEO","RC0603FR-075K76L"
"R30","4.7k","RES 4.7K OHM 1% 1/10W 0603","1","C23162","YAGEO","RC0603FR-074K7L"
"R32","3k","RES 3K OHM 1% 1/10W 0603","1","C4211","Stackpole Electronics Inc","RMCF0603FT3K00"
"R33,R36,R40,R41","1k","RES 1K OHM 1% 1/10W 0603","4","C21190","Stackpole Electronics Inc","RMCF0603FT1K00"
"S1","SKRPARE010","TACT SWITCHTTM","1","C341730","Alps Alpine","SKRPARE010"
"TH1","NTC 10k","THERMISTOR NTC 10KOHM 3380K 0603","1","C440252","Murata Electronics","NCU18XH103F60RB"
"U1,U3,U4","IRS21867STRPBF","IC GATE DRVR HALF-BRIDGE 8SOIC","3","C52290","Infineon Technologies","IRS21867STRPBF"
"U2","SN65HVD232DR","IC TRANSCEIVER HALF 1/1 8SOIC","1","C30530","Texas Instruments","SN65HVD232DR"
"U5","LM7805MPX/NOPB","IC REG LINEAR 5V 1.5A SOT-223-4","1","C2848241","Texas Instruments","LM7805MPX/NOPB"
"U6","TPS54302DDCR","IC REG BUCK ADJ 3A SOT23","1","C311983","Texas Instruments","TPS54302DDCR"
"U7","LM66200DRLR","IC POWER OR CONTROLLER","1","C3235556","Texas Instruments","LM66200DRLR"
"U8","TLV75533PDBVR","IC REG LINEAR 3.3V 500MA SOT23-5","1","C404027","Texas Instruments","TLV75533PDBVR"
"U9","STM32G474CET6","IC MCU 32BIT 512KB FLASH 48LQFP","1","C730125","STMicroelectronics","STM32G474CET6"
"X1","NX2520SA-16MHz","CRYSTAL 16.0000MHZ 8PF SMD","1","C280836","NDK (NIHON DEMPA KOGYO CO., LTD)","STDCSW5-16M"
